Ticker,Year,TotalAset,TotalLiabilitas,TotalCurrentAssets,TotalCurrentLiabilities,NetIncome,OperatingCashFlow,RetainedEarning,EBIT,Sales,Depreciation,Amortization,OutstandingShares
ADES,2020,958791000000.0,258283000000.0,545239000000.0,183559000000.0,135789000000.0,230679000000.0,94853000000.0,167919000000.0,673364000000.0,43153000000.0,0,589896800.0
ADES,2021,1304108000000.0,334291000000.0,673394000000.0,268367000000.0,265758000000.0,308296000000.0,360611000000.0,337828000000.0,935075000000.0,38510000000.0,0,589896800.0
ADES,2022,1645582000000.0,310746000000.0,815319000000.0,254719000000.0,364972000000.0,312748000000.0,725583000000.0,464308000000.0,1290992000000.0,40598000000.0,0,589896800.0
ADES,2023,2085182000000.0,355374000000.0,1230110000000.0,298814000000.0,395798000000.0,459648000000.0,1121381000000.0,503664000000.0,1525445000000.0,44418000000.0,0,589896800.0
AISA,2020,2011557000000.0,1183300000000.0,695360000000.0,855449000000.0,1205212000000.0,-58485000000.0,-3048853000000.0,2131973000000.0,1283331000000.0,61271000000.0,243000000,9311800000.0
AISA,2021,1761634000000.0,942744000000.0,432800000000.0,720020000000.0,8771000000.0,-84864000000.0,-2989408000000.0,53925000000.0,1520879000000.0,58109000000.0,177000000,9311800000.0
AISA,2022,1826350000000.0,1048489000000.0,558960000000.0,827907000000.0,-62359000000.0,-41789000000.0,-3009932000000.0,-27512000000.0,1843760000000.0,62588000000.0,147000000,9311800000.0
AISA,2023,1850004000000.0,881806000000.0,496669000000.0,659907000000.0,18796000000.0,78479000000.0,-2960347000000.0,76483000000.0,1704013000000.0,60371000000.0,199000000,9311800000.0
PSDN,2022,705620167464.0,666499450770.0,222048253982.0,664165137928.0,-25834965122.0,-6921667743.0,-376596495795.0,-14555927013.0,638377010110.0,16242733864.0,0,1440000000.0
PSDN,2023,151973453634.0,85891241704.0,17283295365.0,78817022533.0,143397423734.0,-138134420793.0,-249235481082.0,169591375275.0,266131773827.0,7301445430.0,0,1440000000.0
PSGO,2020,3401723398441.0,2191495435706.0,560100591588.0,289509974222.0,26500634368.0,279405793342.0,-651719985134.0,176673952416.0,930503571803.0,57493525749.0,293944873,18850000000.0
PSGO,2021,3731907652769.0,2307095621382.0,953903389311.0,418048143349.0,213841959820.0,369004599899.0,-437877994588.0,368078746777.0,1766254650794.0,63035360395.0,165059155,18850000000.0
PSGO,2022,4140857067187.0,2454764947737.0,1304904227804.0,650908995178.0,257682000000.0,534656000000.0,-180195903737.0,463631000000.0,1972825000000.0,83362957219.0,103691853,18850000000.0
PSGO,2023,4181183763101.0,1944063067826.0,1865395461793.0,673506196655.0,549244000000.0,672218000000.0,369048313279.0,387773000000.0,2049488000000.0,88981728171.0,114541355,18850000000.0
RANC,2020,1319134443995.0,774629825055.0,627495880938.0,518612611502.0,76002689458.0,271338536010.0,264687083714.0,115416789351.0,3011422750334.0,120178901770.0,7016782625,1564487500.0
RANC,2021,1512036014160.0,1004972007389.0,570901473128.0,633150936994.0,9838767784.0,99018069286.0,232239418650.0,39446889543.0,2887533821686.0,155192996240.0,8631390335,1564487500.0
RANC,2022,1354418637000.0,928180973000.0,519796958000.0,622105282000.0,-83668235000.0,124183902000.0,151442941000.0,-45414648000.0,2898831241000.0,82963086000.0,7214928000,1564487500.0
RANC,2023,1247187872000.0,947996997000.0,519333038000.0,663440550000.0,-121047971000.0,136082896000.0,24893943000.0,-82087083000.0,2804214846000.0,79762038000.0,6186136000,1564487500.0
ROTI,2020,4452166671375.0,1224495623644.0,1458741001374.0,477565340407.0,215050714497.0,486591578118.0,1617500624903.0,336180028956.0,3212034546032.0,170523461601.0,10439226062,6186488888.0
ROTI,2021,4191284422677.0,1341864891951.0,1282057210341.0,483213195704.0,281341473267.0,643601152274.0,1612234910767.0,459874466472.0,3287623237457.0,167568367898.0,11175635618,6186488888.0
ROTI,2022,4130321616083.0,1449163077319.0,1285672230703.0,612417576293.0,432220344060.0,618793076443.0,1716537203130.0,432220344060.0,3935092428016.0,153220142123.0,7214928853,6186488888.0
ROTI,2023,3943518425042.0,1550086849761.0,1164940801635.0,669095049839.0,333300420963.0,618793076443.0,1428800907546.0,478194636476.0,3820532634926.0,155670360293.0,6186136355,6186488888.0
SDPC,2020,1164826486522.0,935629997936.0,1028893308238.0,903258283864.0,2804331066.0,71692697277.0,99486804664.0,97889460305.0,2643626505412.0,15483029262.0,0,1274000000.0
SDPC,2021,1206385542888.0,969406193098.0,1070304708203.0,942588716838.0,9571235584.0,-18176304116.0,107269665868.0,97631194855.0,2988848566331.0,15785496236.0,0,1274000000.0
SDPC,2022,1401505000000.0,1142595000000.0,1258959000000.0,1113038000000.0,24464000000.0,-109947000000.0,129200000000.0,73962000000.0,3200833000000.0,15948601274.0,582480227,1274000000.0
SDPC,2023,1639682000000.0,1361969000000.0,1447652000000.0,1287000000000.0,33081000000.0,-91653000000.0,148003000000.0,105398000000.0,3363518000000.0,17789089154.0,1181483825,1274000000.0
