No,TICKER,NAMA PERUSAHAAN,2021,,,,,,,,2022,,,,,,,,2023,,,,,,,,2024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi
1,AALI,Astra Agro Lestari Tbk.,"  30,399,906,000,000 ","  9,228,733,000,000 ","  2,067,362,000,000 ","  4,895,119,000,000 ","  7,390,608,000,000 ","  5,960,396,000,000 ",,"  1,271,208,000,000 ","  29,249,340,000,000 ","  7,006,119,000,000 ","  1,792,050,000,000 ","  1,835,397,000,000 ","  7,390,608,000,000 ","  2,052,939,000,000 ",,"  1,296,476,000,000 ","  28,846,243,000,000 ","  6,280,237,000,000 ","  1,088,170,000,000 ","  2,538,738,000,000 ","  7,118,202,000,000 ","  3,882,141,000,000 ",,"  1,363,412,000,000 ","  28,793,225,000,000 ","  5,591,163,000,000 ","  1,186,783,000,000 ","  3,379,195,000,000 ","  8,433,638,000,000 ","  3,237,653,000,000 ",,"  1,436,180,000,000 "
2,ADES,Akasha Wira International Tbk.,"  1,304,108,000,000 ","  334,291,000,000 ","  265,758,000,000 ","  308,341,000,000 ","  673,394,000,000 ","  268,367,000,000 ","  1,741,000,000 ","  38,510,000,000 ","  1,645,582,000,000 ","  310,746,000,000 ","  364,972,000,000 ","  312,748,000,000 ","  815,319,000,000 ","  254,719,000,000 ","  1,227,000,000 ","  40,598,000,000 ","  2,085,182,000,000 ","  355,374,000,000 ","  395,798,000,000 ","  459,648,000,000 ","  1,230,110,000,000 ","  298,814,000,000 ","  776,000,000 ","  44,418,000,000 ","  2,696,874,000,000 ","  438,373,000,000 ","  527,368,000,000 ","  471,800,000,000 ","  1,551,646,000,000 ","  383,789,000,000 ","  164,000,000 ","  55,939,000,000 "
3,AISA,FKS Food Sejahtera Tbk.,"  1,761,634,000,000 ","  927,877,000,000 ","  5,762,000,000 ","- 84,864,000,000 ","  432,800,000,000 ","  720,020,000,000 ",,"  58,286,000,000 ","  1,826,350,000,000 ","  1,048,489,000,000 ","- 62,359,000,000 ","- 41,789,000,000 ","  558,960,000,000 ","  827,907,000,000 ",,"  62,735,000,000 ","  1,850,004,000,000 ","  881,806,000,000 ","  18,796,000,000 ","  78,479,000,000 ","  496,669,000,000 ","  659,907,000,000 ",,"  61,076,000,000 ","  1,964,172,000,000 ","  918,034,000,000 ","  69,482,000,000 ","  271,662,000,000 ","  620,106,000,000 ","  584,216,000,000 ",,"  78,681,000,000 "
4,AMRT,Sumber Alfaria Trijaya Tbk.,"  27,370,210,000,000 ","  17,942,427,000,000 ","  1,963,050,000,000 ","  6,335,963,000,000 ","  14,211,903,000,000 ","  16,376,061,000,000 ",,"  3,140,580,000,000 ","  30,746,266,000,000 ","  19,275,574,000,000 ","  2,907,478,000,000 ","  7,062,488,000,000 ","  15,664,200,000,000 ","  17,389,232,000,000 ",,"  3,265,639,000,000 ","  34,246,183,000,000 ","  18,540,983,000,000 ","  3,484,025,000,000 ","  6,817,021,000,000 ","  17,325,874,000,000 ","  17,262,927,000,000 ",,"  3,656,876,000,000 ","  38,798,382,000,000 ","  21,102,439,000,000 ","  3,220,083,000,000 ","  8,063,130,000,000 ","  20,340,708,000,000 ","  19,468,528,000,000 ",,"  4,187,983,000,000 "
5,ANJT,"Austindo Nusantara Jaya Tbk.      Rate 2021 IDR -> USD 0.000070
Rate 2022 IDR -> USD 0.000064      Rate 2023 IDR -> USD 0.000065            Rate 2024 IDR -> USD 0.000062 ","  9,087,768,742,857 ","  3,434,092,242,857 ","  522,670,771,429 ","  1,182,860,357,143 ","  1,111,419,514,286 ","  696,831,185,714 ",,"  354,429,985,714 ","  9,415,476,156,250 ","  3,427,720,265,625 ","  330,551,375,000 ","  937,429,015,625 ","  924,186,968,750 ","  632,345,078,125 ",,"  436,230,218,750 ","  5,334,812,676,923 ","  81,773,461,538 ","  75,001,984,615 ","- 21,523,800,000 ","  37,496,276,923 ","  81,773,461,538 ",,"  425,468,230,769 ","  5,637,025,790,323 ","  13,456,516,129 ","  148,008,306,452 ","- 64,714,838,710 ","  110,288,612,903 ","  13,456,516,129 ",,"  454,542,419,355 "
6,BISI,BISI International Tbk.,"  3,132,202,000,000 ","  404,157,000,000 ","  380,992,000,000 ","  652,538,000,000 ","  2,468,374,000,000 ","  346,045,000,000 ",,"  41,858,000,000 ","  3,410,481,000,000 ","  360,231,000,000 ","  523,242,000,000 ","  668,145,000,000 ","  2,699,403,000,000 ","  306,752,000,000 ",,"  45,473,000,000 ","  3,901,820,000,000 ","  455,124,000,000 ","  600,446,000,000 ","  42,910,000,000 ","  2,945,199,000,000 ","  401,461,000,000 ",,"  49,559,000,000 ","  3,634,529,000,000 ","  244,074,000,000 ","  182,109,000,000 ","- 146,282,000,000 ","  2,572,633,000,000 ","  192,052,000,000 ",,"  57,020,000,000 "
7,BUDI,Budi Starch & Sweetener Tbk.,"  2,993,218,000,000 ","  1,605,521,000,000 ","  69,457,000,000 ","  190,973,000,000 ","  1,320,277,000,000 ","  1,131,686,000,000 ",,"  160,177,000,000 ","  3,068,423,000,000 ","  1,649,593,000,000 ","  67,125,000,000 ","  93,996,000,000 ","  1,493,669,000,000 ","  1,263,835,000,000 ",,"  150,522,000,000 ","  3,327,846,000,000 ","  1,736,519,000,000 ","  102,542,000,000 ","  190,851,000,000 ","  1,708,152,000,000 ","  1,251,674,000,000 ",,"  209,681,000,000 ","  3,817,011,000,000 ","  2,197,787,000,000 ","  67,848,000,000 ","- 257,923,000,000 ","  2,265,184,000,000 ","  1,569,209,000,000 ",,"  187,411,000,000 "
8,BWPT,Eagle High Plantations Tbk.,,,,,,,,,"12,223,568,000,000","10,173,925,000,000","17,478,000,000",,"1,883,769,000,000","3,394,292,000,000",,,"  10,183,510,000,000 ","  7,991,960,000,000 ","  159,970,000,000 ",,"  1,300,009,000,000 ","  3,513,085,000,000 ",,,"  9,794,380,000,000 ","  7,342,291,000,000 ","  272,132,000,000 ",,"  1,420,678,000,000 ","  2,945,123,000,000 ",,
9,CEKA,Wilmar Cahaya Indonesia Tbk.,"  1,697,387,196,209 ","  310,020,233,374 ","  187,066,990,085 ","- 91,481,686,113 ","  1,358,085,356,038 ","  283,104,828,760 ",,"  289,159,569,247 ","  1,718,287,453,575 ","  168,244,583,827 ","  220,704,543,072 ","  11,867,530,566 ","  1,383,998,340,429 ","  139,037,021,213 ",,"  314,218,195,070 ","  1,893,560,797,758 ","  251,275,135,465 ","  153,574,779,624 ","  542,472,806,836 ","  1,581,591,507,205 ","  217,016,302,851 ",,"  338,790,244,923 ","  2,385,281,736,023 ","  476,490,666,860 ","  324,942,516,449 ","- 18,117,428,606 ","  2,076,912,812,377 ","  437,745,255,246 ",,"  348,653,976,618 "
10,CPIN,Charoen Pokphand Indonesia Tbk,"  35,446,051,000,000 ","  10,296,052,000,000 ","  3,619,010,000,000 ","  2,121,905,000,000 ","  15,715,060,000,000 ","  7,836,101,000,000 ",,"  7,900,572,000,000 ","  39,847,545,000,000 ","  13,520,331,000,000 ","  2,930,357,000,000 ","  1,673,887,000,000 ","  18,031,436,000,000 ","  10,109,335,000,000 ",,"  8,771,626,000,000 ","  40,970,800,000,000 ","  13,942,042,000,000 ","  2,318,088,000,000 ","  3,146,254,000,000 ","  18,324,808,000,000 ","  11,123,822,000,000 ",,"  9,923,136,000,000 ","  42,791,000,000,000 ","  12,502,078,000,000 ","  3,711,601,000,000 ","  4,305,814,000,000 ","  21,339,691,000,000 ","  8,589,572,000,000 ",,"  11,235,755,000,000 "
