NO,TICKER,NAMA PERUSAHAAN,2021,,,,,,,2022,,,,,,,2023,,,,,,,2024,,,,,,
,,,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales
1,AALI,Astra Agro Lestari Tbk.,  0.05 ,"  16,003,068,000,000 ","  2,913,169,000,000 ","  18,284,539,163,500 ","  9,228,733,000,000.00 ","  1,924,688,333 ","  24,322,048,000,000.00 ",  0.18 ,"  16,920,288,000,000 ","  2,429,178,000,000 ","  15,445,623,872,325.00 ","  7,006,119,000,000.00 ","  1,924,688,333 ","  21,828,591,000,000 ",  0.11 ,"  17,219,242,000,000.00 ","  1,498,402,000,000.00 ","  13,520,935,539,325.00 ","  6,280,237,000,000.00 ","  1,924,688,333.00 ","  20,745,473,000,000.00 ",  0.18 ,"  17,834,023,000,000.00 ","  1,707,128,000,000.00 ","  11,933,067,664,600.00 ","  5,591,163,000,000.00 ","  1,924,688,333.00 ","  21,815,035,000,000.00 "
2,ADES,Akasha Wira International Tbk.,  0.31 ,"  360,611,000,000 ","  328,221,000,000 ","  1,940,760,472,000 ","  334,291,000,000.00 ","  589,896,800 ","  935,075,000,000.00 ",  0.34 ,"  725,583,000,000 ","  452,537,000,000 ","  4,232,509,540,000.00 ","  310,746,000,000.00 ","  589,896,800 ","  1,290,992,000,000 ",  0.45 ,"  1,121,381,000,000 ","  484,693,000,000 ","  5,707,251,540,000 ","  355,374,000,000.00 ","  589,896,800 ","  1,525,445,000,000 ",  0.43 ,"  1,648,749,000,000 ","  629,638,000,000 ","  5,368,060,880,000 ","  438,373,000,000.00 ","  589,896,800 ","  1,956,431,000,000 "
3,AISA,FKS Food Sejahtera Tbk.,- 0.16 ,"  14,867,000,000.00 ","  50,067,000,000.00 ","  1,787,865,600,000.00 ","  927,877,000,000.00 ","  9,311,800,000.00 ","  1,520,879,000,000.00 ",- 0.15 ,"- 3,009,932,000,000.00 ","- 27,512,000,000.00 ","  1,331,587,400,000.00 ","  1,048,489,000,000.00 ","  9,311,800,000.00 ","  1,843,760,000,000.00 ",- 0.09 ,"- 2,960,347,000,000.00 ","  76,483,000,000.00 ","  1,340,899,200,000.00 ","  881,806,000,000.00 ","  9,311,800,000.00 ","  1,704,013,000,000.00 ",  0.02 ,"- 2,974,005,000,000.00 ","  134,239,000,000.00 ","  977,739,000,000.00 ","  918,034,000,000.00 ","  9,311,800,000.00 ","  1,920,620,000,000.00 "
4,AMRT,Sumber Alfaria Trijaya Tbk.,- 0.08 ,"  5,139,316,000,000.00 ","  2,783,812,000,000.00 ","  50,452,269,565,500.00 ","  17,942,427,000,000.00 ","  41,524,501,700.00 ","  84,904,301,000,000.00 ",- 0.06 ,"  8,754,466,000,000.00 ","  3,770,188,000,000.00 ","  110,039,929,505,000.00 ","  19,275,574,000,000.00 ","  41,524,501,700.00 ","  96,924,686,000,000.00 ",  0.00 ,"  11,159,043,000,000.00 ","  4,429,298,000,000.00 ","  121,666,789,981,000.00 ","  18,540,983,000,000.00 ","  41,524,501,700.00 ","  106,944,683,000,000.00 ",  0.02 ,"  13,116,220,000,000.00 ","  4,078,527,000,000.00 ","  118,344,829,845,000.00 ","  21,102,439,000,000.00 ","  41,524,501,700.00 ","  118,227,031,000,000.00 "
5,ANJT,"Austindo Nusantara Jaya Tbk.      Rate 2021 IDR -> USD 0.000070
Rate 2022 IDR -> USD 0.000064      Rate 2023 IDR -> USD 0.000065            Rate 2024 IDR -> USD 0.000062 ",  0.05 ,"  4,726,427,400,000.00 ","  848,967,271,428.57 ","  3,320,633,250,000.00 ","  3,434,092,242,857.14 ","  3,354,175,000.00 ","  3,819,770,328,571.43 ",  0.03 ,"  5,428,367,203,125.00 ","  613,706,921,875.00 ","  2,230,526,375,000.00 ","  3,427,720,265,625.00 ","  3,354,175,000.00 ","  4,205,730,015,625.00 ",- 0.01 ,"  3,863,153,784,615.39 ","  74,373,430,769.23 ","  2,498,860,375,000.00 ","  81,773,461,538.46 ","  3,354,175,000.00 ","  153,981,630,769.23 ",  0.02 ,"  4,165,464,741,935.48 ","  148,008,306,451.61 ","  2,398,235,125,000.00 ","  13,456,516,129.03 ","  3,354,175,000.00 ","  227,728,983,870.97 "
6,BISI,BISI International Tbk.,  0.68 ,"  2,322,693,000,000.00 ","  460,176,000,000.00 ","  2,985,000,000,000.00 ","  404,157,000,000.00 ","  3,000,000,000.00 ","  2,015,138,000,000.00 ",  0.70 ,"  2,644,832,000,000.00 ","  616,250,000,000.00 ","  4,800,000,000,000.00 ","  360,231,000,000.00 ","  3,000,000,000.00 ","  2,415,592,000,000.00 ",  0.65 ,"  3,041,166,000,000.00 ","  692,341,000,000.00 ","  4,800,000,000,000.00 ","  455,124,000,000.00 ","  3,000,000,000.00 ","  2,298,131,000,000.00 ",  0.65 ,"  2,983,141,000,000.00 ","  206,301,000,000.00 ","  3,600,000,000,000.00 ","  244,074,000,000.00 ","  3,000,000,000.00 ","  1,367,926,000,000.00 "
7,BUDI,Budi Starch & Sweetener Tbk.,  0.06 ,"  481,545,000,000.00 ","  172,335,000,000.00 ","  805,320,527,798.00 ","  1,605,521,000,000.00 ","  4,498,997,362.00 ","  2,611,642,000,000.00 ",  0.07 ,"  509,411,000,000.00 ","  169,326,000,000.00 ","  1,016,773,403,812.00 ","  1,649,593,000,000.00 ","  4,498,997,362.00 ","  2,451,872,000,000.00 ",  0.14 ,"  569,607,000,000.00 ","  241,959,000,000.00 ","  1,250,721,266,636.00 ","  1,736,519,000,000.00 ","  4,498,997,362.00 ","  3,944,953,000,000.00 ",  0.18 ,"  590,532,000,000.00 ","  217,085,000,000.00 ","  1,016,773,403,812.00 ","  2,197,787,000,000.00 ","  4,498,997,362.00 ","  4,009,264,000,000.00 "
8,BWPT,Eagle High Plantations Tbk.,#DIV/0!,,,"2,303,055,246,800",,"  31,525,291,000.00 ",,-0.12,"-4,506,908,000,000","466,681,000,000","2,022,953,933,000","10,173,925,000,000","  31,525,291,000.00 ","4,574,124,000,000",- 0.22 ,"-4,329,883,000,000","  703,466,000,000.00 ","1,680,607,882,800","  7,991,960,000,000.00 ","  31,525,291,000.00 ","  4,204,612,000,000.00 ",- 0.16 ,"-4,069,673,000,000","  926,507,000,000.00 ","1,836,219,723,800","  7,342,291,000,000.00 ","  31,525,291,000.00 ","  4,302,676,000,000.00 "
9,CEKA,Wilmar Cahaya Indonesia Tbk.,  0.63 ,"  9,530,025,067.00 ","  227,163,546,573.00 ","  1,118,600,000,000.00 ","  310,020,233,374.00 ","  595,000,000.00 ","  5,359,440,530,374.00 ",  0.72 ,"  10,266,510,067.00 ","  282,224,281,647.00 ","  1,178,100,000,000.00 ","  168,244,583,827.00 ","  595,000,000.00 ","  6,143,759,424,928.00 ",  0.72 ,"  10,830,126,567.00 ","  187,029,688,072.00 ","  1,097,775,000,000.00 ","  251,275,135,465.00 ","  595,000,000.00 ","  6,377,428,624,946.00 ",  0.69 ,"  11,421,496,567.00 ","  390,983,822,768.00 ","  1,237,600,000,000.00 ","  476,490,666,860.00 ","  595,000,000.00 ","  8,002,904,770,455.00 "
10,CPIN,Charoen Pokphand Indonesia Tbk,  0.22 ,"  24,996,417,000,000.00 ","  4,934,364,000,000.00 ","  97,568,100,000,000.00 ","  10,296,052,000,000.00 ","  16,398,000,000.00 ","  51,698,249,000,000.00 ",  0.20 ,"  26,169,602,000,000.00 ","  3,984,400,000,000.00 ","  92,648,700,000,000.00 ","  13,520,331,000,000.00 ","  16,398,000,000.00 ","  56,867,544,000,000.00 ",  0.18 ,"  26,873,626,000,000.00 ","  3,654,606,000,000.00 ","  82,399,950,000,000.00 ","  13,942,042,000,000.00 ","  16,398,000,000.00 ","  61,615,850,000,000.00 ",  0.30 ,"  30,135,088,000,000.00 ","  5,987,419,000,000.00 ","  78,054,480,000,000.00 ","  12,502,078,000,000.00 ","  16,398,000,000.00 ","  67,477,992,000,000.00 "
