No,TICKER,NAMA PERUSAHAAN,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,
,,,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,,Return on Stock Price (+7),Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price
,,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Total Con ACC,Net Inc,Opr Cash Flow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,
1,AALI,Astra Agro Lestari Tbk.,  0.05 ,  0.53 ,0.10,  1.98 ,0.80,0.5,0.00,0.80,0.19,"  2,067,362,000,000 ","  4,895,119,000,000 ","  1,271,208,000,000 ",,  0.18 ,0.58,0.08,2.20,0.75,0.50,0.00,0.80,"  1,792,050,000,000 ","  1,835,397,000,000 ","  1,296,476,000,000 ",,  0.11 ,0.60,0.05,2.15,0.72,0.50,0.00,  0.80 ,"  1,088,170,000,000 ","  2,538,738,000,000 ","  1,363,412,000,000 ",,  0.18 ,0.62,0.06,2.13,0.76,0.50,0.00,  0.80 ,"  1,186,783,000,000 ","  3,379,195,000,000 ","  1,436,180,000,000 ",
2,ADES,Akasha Wira International Tbk.,  0.31 ,  0.28 ,0.25,  5.81 ,0.72,0.33,0.00,0.92,0.41,"  265,758,000,000 ","  308,341,000,000 ","  40,251,000,000 ",,  0.34 ,0.44,0.28,13.62,0.78,0.33,  0.00 ,0.92,"  364,972,000,000 ","  312,748,000,000 ","  41,825,000,000 ",,  0.45 ,0.54,0.23,16.06,0.73,0.33,  0.00 ,0.00,"  395,798,000,000 ","  459,648,000,000 ","  45,194,000,000 ",,  0.43 ,0.61,0.23,12.25,0.73,0.33,  0.00 ,0.91,"  527,368,000,000 ","  471,800,000,000 ","  56,103,000,000 ",
3,AISA,FKS Food Sejahtera Tbk.,- 0.16 ,  0.01 ,0.03,  1.93 ,0.86,0.50,0.00,  0.64 ,-0.08,"  5,762,000,000 ","- 84,864,000,000 ","  58,286,000,000 ",,- 0.15 ,-1.65,-0.02,1.27,1.01,0.50,0.00,  0.73 ,"- 62,359,000,000 ","- 41,789,000,000 ","  62,735,000,000 ",,- 0.09 ,-1.60,0.04,1.52,0.92,0.60,0.00,  0.74 ,"  18,796,000,000 ","  78,479,000,000 ","  61,076,000,000 ",,  0.02 ,-1.51,0.07,1.07,0.98,  0.50 ,0.00,  0.74 ,"  69,482,000,000 ","  271,662,000,000 ","  78,681,000,000 ",
4,AMRT,Sumber Alfaria Trijaya Tbk.,- 0.08 ,  0.19 ,0.10,  2.81 ,3.10,0.5,  0.02 ,  0.53 ,0.19,"  1,963,050,000,000 ","  6,335,963,000,000 ","  3,140,580,000,000 ",,- 0.06 ,0.28,0.12,5.71,3.15,0.60,  0.02 ,  0.53 ,"  2,907,478,000,000 ","  7,062,488,000,000 ","  3,265,639,000,000 ",,  0.00 ,0.33,0.13,6.56,3.12,0.5,  0.01 ,  0.53 ,"  3,484,025,000,000 ","  6,817,021,000,000 ","  3,656,876,000,000 ",,  0.02 ,0.34,0.11,5.61,3.05,0.5,  0.01 ,  0.53 ,"  3,220,083,000,000 ","  8,063,130,000,000 ","  4,187,983,000,000 ",
5,ANJT,"Austindo Nusantara Jaya Tbk.      Rate 2021 IDR -> USD 0.000070
Rate 2022 IDR -> USD 0.000064      Rate 2023 IDR -> USD 0.000065            Rate 2024 IDR -> USD 0.000062 ",  0.05 ,  0.52 ,0.09,  0.97 ,0.42,0.38,  0.10 ,  0.82 ,0.15,"  522,670,771,429 ","  1,182,860,357,143 ","  354,429,985,714 ",,  0.03 ,0.58,0.07,0.65,0.45,0.375,  0.10 ,  0.82 ,"  330,551,375,000 ","  937,429,015,625 ","  436,230,218,750 ",,- 0.01 ,0.72,0.01,30.56,0.03,0.43,0.10,0.82,"  75,001,984,615 ","- 21,523,800,000 ","  425,468,230,769 ",,  0.02 ,0.74,0.03,178.22,0.04,0.43,  0.10 ,  0.82 ,"  148,008,306,452 ","- 64,714,838,710 ","  454,542,419,355 ",
6,BISI,BISI International Tbk.,  0.68 ,  0.74 ,0.15,  7.39 ,0.64,0.33,  0.00 ,  0.54 ,0.32,"  380,992,000,000 ","  652,538,000,000 ","  41,858,000,000 ",,  0.70 ,0.78,0.18,13.32,0.71,0.33,  0.00 ,0.54,"  523,242,000,000 ","  668,145,000,000 ","  45,473,000,000 ",,  0.65 ,0.78,0.18,10.55,0.59,0.50,  0.00 ,0.54,"  600,446,000,000 ","  42,910,000,000 ","  49,559,000,000 ",,  0.65 ,0.82,0.06,14.75,0.38,0.50,  0.00 ,0.65,"  182,109,000,000 ","- 146,282,000,000 ","  57,020,000,000 ",
7,BUDI,Budi Starch & Sweetener Tbk.,  0.06 ,  0.16 ,0.06,  0.50 ,0.87,0.33,0.00,  0.58 ,0.03,"  69,457,000,000 ","  190,973,000,000 ","  160,177,000,000 ",,  0.07 ,0.17,0.06,0.62,0.80,0.33,  0.00 ,0.60,"  67,125,000,000 ","  93,996,000,000 ","  150,522,000,000 ",,  0.14 ,0.17,0.07,0.72,1.19,0.33,  0.00 ,0.60,"  102,542,000,000 ","  190,851,000,000 ","  209,681,000,000 ",,  0.18 ,0.15,0.06,0.46,1.05,0.33,  0.00 ,  0.60 ,"  67,848,000,000 ","- 257,923,000,000 ","  187,411,000,000 ",
8,BWPT,Eagle High Plantations Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33,  0.00 ,  0.75 ,#DIV/0!,,,  -   ,,-0.12,-0.37,0.04,0.20,0.37,0.33,  0.00 ,  0.75 ,"17,478,000,000",,  -   ,,- 0.22 ,0.00,0.07,0.00,0.41,0.33,  0.00 ,  0.75 ,"  159,970,000,000 ",,  -   ,,- 0.16 ,0.00,0.09,0.00,0.44,0.33,  0.00 ,0.7470344742,"  272,132,000,000 ",,  -   ,
9,CEKA,Wilmar Cahaya Indonesia Tbk.,  0.63 ,  0.01 ,0.13,  3.61 ,3.16,0.33,  0.00 ,  0.92 ,-0.11,"  187,066,990,085 ","- 91,481,686,113 ","  289,159,569,247 ",,  0.72 ,0.01,0.16,7.00,3.58,0.33,  0.00 ,  0.87 ,"  220,704,543,072 ","  11,867,530,566 ","  314,218,195,070 ",,  0.72 ,0.01,0.10,4.37,3.37,0.50,0.00,  0.87 ,"  153,574,779,624 ","  542,472,806,836 ","  338,790,244,923 ",,  0.69 ,0.00,0.16,2.60,3.36,0.50,0.00,  0.87 ,"  324,942,516,449 ","- 18,117,428,606 ","  348,653,976,618 ",
